
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        144 K
Secure System                  140 Services                   0     63,216 K
Registry                       184 Services                   0     20,912 K
smss.exe                       612 Services                   0        228 K
csrss.exe                      944 Services                   0      2,492 K
wininit.exe                    548 Services                   0      1,060 K
csrss.exe                      740 Console                    1      2,440 K
services.exe                   756 Services                   0      6,592 K
winlogon.exe                  1052 Console                    1      4,388 K
LsaIso.exe                    1104 Services                   0          4 K
lsass.exe                     1116 Services                   0     15,052 K
svchost.exe                   1256 Services                   0     40,052 K
WUDFHost.exe                  1284 Services                   0      6,220 K
fontdrvhost.exe               1308 Console                    1      1,296 K
fontdrvhost.exe               1304 Services                   0      1,008 K
svchost.exe                   1424 Services                   0     14,660 K
svchost.exe                   1476 Services                   0      3,908 K
svchost.exe                   1632 Services                   0        860 K
svchost.exe                   1676 Services                   0      1,528 K
svchost.exe                   1688 Services                   0      1,840 K
svchost.exe                   1704 Services                   0      8,016 K
svchost.exe                   1868 Services                   0      2,472 K
svchost.exe                   1876 Services                   0      5,148 K
svchost.exe                   1972 Services                   0      9,740 K
svchost.exe                   2024 Services                   0      5,080 K
svchost.exe                    752 Services                   0      1,024 K
svchost.exe                   1108 Services                   0      1,380 K
svchost.exe                   1448 Services                   0      3,948 K
svchost.exe                   2144 Services                   0      8,936 K
svchost.exe                   2192 Services                   0      2,516 K
svchost.exe                   2208 Services                   0     10,228 K
svchost.exe                   2424 Services                   0      1,272 K
NVDisplay.Container.exe       2524 Services                   0     12,804 K
dasHost.exe                   2628 Services                   0      1,584 K
svchost.exe                   2660 Services                   0      5,412 K
svchost.exe                   2708 Services                   0     12,088 K
svchost.exe                   2748 Services                   0      1,392 K
svchost.exe                   2756 Services                   0      4,936 K
svchost.exe                   2768 Services                   0      6,680 K
Memory Compression            2920 Services                   0    327,732 K
svchost.exe                   2968 Services                   0        616 K
svchost.exe                   3000 Services                   0     13,332 K
svchost.exe                   3040 Services                   0      1,904 K
svchost.exe                   3048 Services                   0      2,400 K
svchost.exe                   3068 Services                   0      4,520 K
svchost.exe                   3112 Services                   0      1,328 K
svchost.exe                   3192 Services                   0      3,364 K
svchost.exe                   3196 Services                   0      2,288 K
svchost.exe                   3312 Services                   0     18,164 K
svchost.exe                   3368 Services                   0      4,164 K
svchost.exe                   3456 Services                   0      3,072 K
svchost.exe                   3588 Services                   0      2,732 K
svchost.exe                   3596 Services                   0      7,936 K
svchost.exe                   3648 Services                   0      2,012 K
spoolsv.exe                   3688 Services                   0      2,632 K
svchost.exe                   3756 Services                   0      7,768 K
svchost.exe                   3840 Services                   0      4,900 K
svchost.exe                   3880 Services                   0      2,464 K
NVDisplay.Container.exe       3920 Console                    1     13,792 K
svchost.exe                   4148 Services                   0      1,688 K
FMService64.exe               4160 Services                   0      1,352 K
DAX3API.exe                   4172 Services                   0     16,152 K
svchost.exe                   4180 Services                   0     26,796 K
svchost.exe                   4192 Services                   0     47,592 K
nvcontainer.exe               4204 Services                   0      9,376 K
RtkAudUService64.exe          4212 Services                   0      1,804 K
RstMwService.exe              4232 Services                   0      1,080 K
MpDefenderCoreService.exe     4240 Services                   0     12,152 K
svchost.exe                   4248 Services                   0        320 K
UltraViewer_Service.exe       4288 Services                   0      3,900 K
LMS.exe                       4300 Services                   0      2,092 K
MsMpEng.exe                   4308 Services                   0    202,676 K
svchost.exe                   4316 Services                   0     11,916 K
TeamViewer_Service.exe        4368 Services                   0     12,680 K
esif_uf.exe                   4420 Services                   0      2,004 K
svchost.exe                   4440 Services                   0      8,596 K
svchost.exe                   4612 Services                   0      3,860 K
jhi_service.exe               4824 Services                   0        228 K
svchost.exe                   6016 Services                   0      4,792 K
crashpad_handler.exe          6224 Services                   0      1,200 K
DAX3API.exe                   6236 Console                    1      1,968 K
audiodg.exe                   6416 Services                   0     24,620 K
nvcontainer.exe               6508 Console                    1     12,900 K
UltraViewer_Desktop.exe       6664 Console                    1     73,108 K
nvcontainer.exe               6692 Console                    1     26,316 K
sihost.exe                    6744 Console                    1     22,300 K
