Date,Session,Total_Signals,BUY_Signals,SELL_Signals,Total_Deals,Win,Loss,WinRate_%,PnL,End_Balance
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,181,181,0,145,90,55,62.1,42.8000,10042.80
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,6,6,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
